Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
18340620,For Sale,Sell,17,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340620baca1.pdf,,,"FOR SALE—A strong healthy negro Girl, from
the Country, about 17 years of age, to be free at
45. She would be useful in a tavern, or on a farm;
being used to out of door work. She will either be
sold or exchanged for one about her own age, who is
acquainted with house work—or for one younger who
has a disposition and capacily to learn. Enquire at
this office. 
je 20 d4t","""to be free at 45""; ""sold or exchanged for one about her own age, or for one younger who has a disposition and capacity to learn""",18340620,,Private,,,,"Tavern, Farm",,,Baltimore American and Commercial Advertiser,3,,,,,
18340624,Notice,sell/hire,,Allegany,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340624cuc1.pdf,,,"NOTICE.
HAVING abandoned all idea of
removing from Allegany county, I
will be glad to get a good tenant for
some real property in Shepherds-town, Jefferson county, Virginia. It
may be had on moderate terms.
Thia property is pleasantly situated
in Shepherds-Town, and is an excellent situation for a PUBLIC HOUSE.
With the premises will be hired some
VALUABLE NEGROES.
If not disposed of by private contract
by 15th August next, will then be offered at public auction on the premises.  
Jacob Lantz.
Old-town Allegany County, Md.
June 24, 1834.",,18340624,18340815,private,Jefferson County,Shepherdstown,VA,,,,Phoenix Civilian,3,AL,Jacob,Lantz,,MD
18340626,Negroes for sale,Sell,20,Baltimore City,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340626baca1.pdf,,,"NEGROES FOR SALE—The subscriber being
about to remove to the country, will dispose of a Negro Woman aged about 20 years, accustomed to 
house work generally, a slave for life. Also, a Negro Man aged about 24 years, to serve until he is 44 years
of age. These Negroes are sold for no fault only they
are not willing to go to the country. Persons wishing
to purchase will please call before Saturday, as I shall
on that day leave the city for two weeks.
A. B. HARRISON,
No. 10 Light st. wharf
je 26	","""slave for life""; sold with negro man age 25",18340626,,Private,BC,#10 Light Wharf Street,MD,housework,,,Baltimore American and Commercial Advertiser,3,BC,A.B.,Harrison,#10 Light Wharf Street,MD
18340626,Negros for sale,Sell,24,Baltimore City,m,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340626baca1.pdf,,,"NEGROES FOR SALE—The subscriber being
about to remove to the country, will dispose of a Negro Woman aged about 20 years, accustomed to 
house work generally, a slave for life. Also, a Negro Man aged about 24 years, to serve until he is 44 years
of age. These Negroes are sold for no fault only they
are not willing to go to the country. Persons wishing
to purchase will please call before Saturday, as I shall
on that day leave the city for two weeks.
A. B. HARRISON,
No. 10 Light st. wharf
je 26	","""serve until 44""; sold with negro woman age 20",18340626,,Private,BC,#10 Light Wharf Street,MD,,,,Baltimore American and Commercial Advertiser,3,BC,A.B.,Harrison,#10 Light Wharf Street,MD
18340628,For sale,Sell,16,,F,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340628baca1.pdf,,,"FOR SALE-A Valuable house Servant, 16 years
of age, well instructed in the usual duties of waiter and house maid—understands plain cooking and is
an excellent child’s nurse. Apply at this office.
je 28 R 6t","""understands plain cooking and is an excellent child's nurse""",18340628,,Private,,,,"Waiter, housemaid",,,Baltimore American and Commercial Advertiser,3,,,,,
18340628,Constable's Sale,Sale,Woman,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340628cac1.pdf,,,"Constable’s Sale.
BY virtue of five writs of fieri facias, is-
sued by Soleman Kirwan, Esq., and to
me directed, at the suit of Matthew Wallace, against John C. Tyler, I will offer at
public sale, on Saturday the 19th day of Ju-
ly next, between the hours of 12 and 4
o'clock, at the store of Matthew Wallace, all
the right of said Tyler to one negro woman
Comfort, one negro woman Dealia, one negro boy Clement, two yoke of oxen, four
cows and calves, five head of other cattle,
more or less, ten head of sheep, more or less,
eight head of hogs, more or less, one ox cart,
two beds, bedsteads and furniture, and one
canoe—Taken in execution, and will be sold,
for cash, to satisfy said fl. fas. and costs duo
and to become due. Attendance given by
BARZILLAI SLACUM,
Constable
June 28 3w","Suit of Matthew Wallace against John C. Tyler, public sale of three negroes.",18340628,18340719,public_dealer,Dorchester County,,Maryland,,Comfort,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340628,Constable's Sale,Sale,Woman,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340628cac1.pdf,,,"Constable’s Sale.
BY virtue of five writs of fieri facias, is-
sued by Soleman Kirwan, Esq., and to
me directed, at the suit of Matthew Wallace, against John C. Tyler, I will offer at
public sale, on Saturday the 19th day of Ju-
ly next, between the hours of 12 and 4
o'clock, at the store of Matthew Wallace, all
the right of said Tyler to one negro woman
Comfort, one negro woman Dealia, one negro boy Clement, two yoke of oxen, four
cows and calves, five head of other cattle,
more or less, ten head of sheep, more or less,
eight head of hogs, more or less, one ox cart,
two beds, bedsteads and furniture, and one
canoe—Taken in execution, and will be sold,
for cash, to satisfy said fl. fas. and costs duo
and to become due. Attendance given by
BARZILLAI SLACUM,
Constable
June 28 3w","Suit of Matthew Wallace against John C. Tyler, public sale of three negroes.",18340628,18340719,public_dealer,Dorchester County,,Maryland,,Dalia,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340628,Constable's Sale,Sale,Boy,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340628cac1.pdf,,,"Constable’s Sale.
BY virtue of five writs of fieri facias, is-
sued by Soleman Kirwan, Esq., and to
me directed, at the suit of Matthew Wallace, against John C. Tyler, I will offer at
public sale, on Saturday the 19th day of Ju-
ly next, between the hours of 12 and 4
o'clock, at the store of Matthew Wallace, all
the right of said Tyler to one negro woman
Comfort, one negro woman Dealia, one negro boy Clement, two yoke of oxen, four
cows and calves, five head of other cattle,
more or less, ten head of sheep, more or less,
eight head of hogs, more or less, one ox cart,
two beds, bedsteads and furniture, and one
canoe—Taken in execution, and will be sold,
for cash, to satisfy said fl. fas. and costs duo
and to become due. Attendance given by
BARZILLAI SLACUM,
Constable
June 28 3w","Suit of Matthew Wallace against John C. Tyler, public sale of three negroes.",18340628,18340719,public_dealer,Dorchester County,,Maryland,,Clement,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340701,Sheriff's Sale,sell,,Allegany,M,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340701cuc1.pdf,,,"Sheriff’s Sale.
BY virtue of sundry fee bills, placed in my hands for collection, against
John J. Mullan & Theodora his wife,
adm’x. and L. F. Klipstine, administrator.
of John Morrison, deceased, I have
levied and seized upon
One Negro Boy,
named Benjamin Jones, Jr.
the property of the said J. J. Mullan
& Theodora, his wife, as adm’x. and
L. F. Klipstine, as adm’r. of John
Morrison, dec’d. which said property
I will on the 15th day of JULY next,
at Frostburg, expose to sale, to the
highest bidder, for cash, to satisfy
said claim, and also for fees due the
Sheriff’s Office.
L. O. HOLT, Sheriff
of Allegany co.
July 1 12-3",,18340701,18340715,public,AL,,MD,,,,Phoenix Civilian,3,AL,L. O.,Holt,,MD
18340702,For Sale,Sell,13,,m,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340702baca1.pdf,,,"FOR SALE—A Negro Boy about 13 years of age,
and a Negro Girl of about 15 years, both accustomed to house work—They are both slaves for life and will not be sold to go out of the State. Apply at this office
jy 2 d4t*","""slave for life""; sold with girl, age 15",18340702,,Private,,,,Housework,,,Baltimore American and Commercial Advertiser,3,,,,,
18340702,For Sale,Sell,15,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340702baca1.pdf,,,"FOR SALE—A Negro Boy about 13 years of age,
and a Negro Girl of about 15 years, both accustomed to house work—They are both slaves for life and will not be sold to go out of the State. Apply at this office
jy 2 d4t*","""slave for life""; sold with boy, age 13",18340702,,Private,,,,Housework,,,Baltimore American and Commercial Advertiser,3,,,,,
18340710,For sale,Sell,24,,F,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340710baca1.pdf,,,"FOR SALE for a term of years a NEGRO WOMAN about 24 years of age; she will not be sold
out of the State. Enquire at this office.
jy 10 eo4t","""for a term of years""; ""will not be sold out of state""",18340710,,Private,,,,,,,Baltimore American and Commercial Advertiser,3,,,,,
18340715,For sale,Sell,,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340715baca1.pdf,,,"FOR SALE—A SLAVE FOR LIFE—A middle-aged negro woman, (from the country,) able bodied, and healthy, who can be warranted to the high
qualities of honesty, and good habits, and who is a
good cook, washer, and ironer. Apply at this office.
jy 15 4t*","""slave for life""",18340715,,Private,,,,"cook, washer, ironer",,,Baltimore American and Commercial Advertiser,3,,,,,
18340716,Negro man for sale,Sell,22,Baltimore City,m,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340716baca1.pdf,,,"NEGRO MAN FOR SALE—For sale a negro
man, about 22 years of age to serve until he is 45
years old. For terms apply at No. 10 Light at wharf.
jy 16	d4t*","""serve until he is 45""",18340716,,Private,BC,#10 Light Wharf Street,MD,,,,Baltimore American and Commercial Advertiser,3,,,,,
18340718,Negroes for sale,Sell,,,m,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340718baca1.pdf,,,"NEGROES FOR SALE—a family of Negroes, male and female, accustomed to house work generally in the city, strong and healthy, will be sold together or separately, but not to be taken out of the state.
A line addressed to O. P. Q. and left at the American
office will be attended to.
jy 18 eod4t*","""a family of Negroes, male and female""; ""to be sold together or separately""",18340718,,Private,,,,house,,,Baltimore American and Commercial Advertiser,3,,O.P.Q.,,,
18340718,Negroes for sale,Sell,,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340718baca1.pdf,,,"NEGROES FOR SALE—a family of Negroes, male and female, accustomed to house work generally in the city, strong and healthy, will be sold together or separately, but not to be taken out of the state.
A line addressed to O. P. Q. and left at the American
office will be attended to.
jy 18 eod4t*","""a family of Negroes, male and female""; ""to be sold together or separately""",18340718,,Private,,,,house,,,Baltimore American and Commercial Advertiser,3,,O.P.Q.,,,
18340719,Constable's Sale,Sale,Man,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340719cac1.pdf,,,"Constable’s Sale.
BY virtue of a writ of venditioni exponas,
 issued by Benjamin T. Street. Esq.,
and to me directed, at the suit of William
McNamara, against Caleb McNamara, I
will offer at public sale, on Saturday the 9th
day of August next, at William Mister’s
store, for cash, between the hours of 10 and
12 o’clock, all said Caleb McNamara’s right
to one bed and furniture, one negro man
Will and one negro woman Sill, taken into
execution as the property of said McNamara, and will be sold to satisfy the above writ
and costs due and to become due. Attendance given by
RANSOM PRITCHETT,
Late Constable
July 19 3w",Suit of William McNamara against Caleb McNamara to sell his property negro man Will and negro woman Sill.,18340719,18340809,public_dealer,Dorchester County,William Mister's Store,Maryland,,Will,,Cambridge Chronicle,3,DO,Ransom,Pritchett,,Maryland
18340719,Constable's Sale,Sale,Woman,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340719cac1.pdf,,,"Constable’s Sale.
BY virtue of a writ of venditioni exponas,
 issued by Benjamin T. Street. Esq.,
and to me directed, at the suit of William
McNamara, against Caleb McNamara, I
will offer at public sale, on Saturday the 9th
day of August next, at William Mister’s
store, for cash, between the hours of 10 and
12 o’clock, all said Caleb McNamara’s right
to one bed and furniture, one negro man
Will and one negro woman Sill, taken into
execution as the property of said McNamara, and will be sold to satisfy the above writ
and costs due and to become due. Attendance given by
RANSOM PRITCHETT,
Late Constable
July 19 3w",Suit of William McNamara against Caleb McNamara to sell his property negro man Will and negro woman Sill.,18340719,18340819,public_dealer,Dorchester County,William Mister's Store,Maryland,,Sill,,Cambridge Chronicle,3,DO,Ransom,Pritchett,,Maryland
18340722,For Sale,Sell,19,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340722baca1.pdf,,,"FOR SALE—for life, a healthy Colored GIRL about 19 years of age. She is acquainted with
house work generally, perfectly sober, honest and of
mild temper. Apply at this office. 
jy 22 4t","""for life""",18340722,,Private,,,,housework,,,Baltimore American and Commercial Advertiser,3,,,,,
18340723,For Sale,Sell,15,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340723baca1.pdf,,,"FOR SALE—A NEGRO GIRL now about fifteen years of age to serve twenty years. She is
well acquainted with house work generally. Apply at
this office.
jy 23 d4t","""to serve 20 years""",18340723,,Private,,,,housework,,,Baltimore American and Commercial Advertiser,3,,,,723,
18340725,Servants Wanted,buy,,,m,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340725baca1.pdf,,,"SERVANTS WANTED-The advertiser
wishes to purchase for his own use, a male servant who has been brought up to waiting, also a female who is a good cook. None will answer but those of the best character.	
jy 25 d4t","also wanted ""a female who is a good cook""",18340725,,Private,,,,waiter,,,Baltimore American and Commercial Advertiser,3,,,,,
18340725,Servants Wanted,buy,,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340725baca1.pdf,,,"SERVANTS WANTED-The advertiser
wishes to purchase for his own use, a male servant who has been brought up to waiting, also a female who is a good cook. None will answer but those of the best character.	
jy 25 d4t","also wanted ""a male servant who has been brought up to waiting""",18340725,,Private,,,,cook,,,Baltimore American and Commercial Advertiser,3,,,,,
18340725,Negro for sale,Sell,16,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340725baca2.pdf,,,"NEGRO FOR SALE—A girl in her sixteenth year, slave for life, will not be sold out of the
state, understands all kinds of house work. Inquire at
this office.	
jy 25 4t*","""slave for life""",18340725,,Private,,,,housework,,,Baltimore American and Commercial Advertiser,3,,,,,
18340726,Constable's Sale,Sale,Woman,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726cac1.pdf,,,"Constable’s Sale.
BY virtue of five writs of fieri facias, issued by Solomon Kirwan, Esq., and to
me directed, one at the suit of Goodman
Gootee, two at the suit of Griffin and Robinson, one at the suit of John Turnbull, Executor.
of Matthew Turnbull, and one at the suit of
John Andrews, against John C. Tyler, I will
offer at public sale, on Saturday, the 16th
day of August next, between the hours of 12
and 6 o’clock, at the store of Griffin & Robinson, all the right of said Tyler to one negro woman Comfort, one negro boy Clement,
and one negro boy Richard, taken in execution and will be sold, for cash, to satisfy said
fi. fas., and costs due and to become due.
Attendance given bv
BARZILLAI SLACUM,
Constable
July 26 3w",Public sale of John C. Tyler's property.,18340726,18340816,public_dealer,Dorchester County,Griffin & Robinson's Store,Maryland,,Comfort,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340726,Constable's Sale,Sale,Boy,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726cac1.pdf,,,"Constable’s Sale.
BY virtue of five writs of fieri facias, issued by Solomon Kirwan, Esq., and to
me directed, one at the suit of Goodman
Gootee, two at the suit of Griffin and Robinson, one at the suit of John Turnbull, Executor.
of Matthew Turnbull, and one at the suit of
John Andrews, against John C. Tyler, I will
offer at public sale, on Saturday, the 16th
day of August next, between the hours of 12
and 6 o’clock, at the store of Griffin & Robinson, all the right of said Tyler to one negro woman Comfort, one negro boy Clement,
and one negro boy Richard, taken in execution and will be sold, for cash, to satisfy said
fi. fas., and costs due and to become due.
Attendance given bv
BARZILLAI SLACUM,
Constable
July 26 3w",Public sale of John C. Tyler's property.,18340726,18340816,public_dealer,Dorchester County,Griffin & Robinson's Store,Maryland,,Clement,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340726,Constable's Sale,Sale,Boy,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726cac1.pdf,,,"Constable’s Sale.
BY virtue of five writs of fieri facias, issued by Solomon Kirwan, Esq., and to
me directed, one at the suit of Goodman
Gootee, two at the suit of Griffin and Robinson, one at the suit of John Turnbull, Executor.
of Matthew Turnbull, and one at the suit of
John Andrews, against John C. Tyler, I will
offer at public sale, on Saturday, the 16th
day of August next, between the hours of 12
and 6 o’clock, at the store of Griffin & Robinson, all the right of said Tyler to one negro woman Comfort, one negro boy Clement,
and one negro boy Richard, taken in execution and will be sold, for cash, to satisfy said
fi. fas., and costs due and to become due.
Attendance given bv
BARZILLAI SLACUM,
Constable
July 26 3w",Public sale of John C. Tyler's property.,18340726,18340816,public_dealer,Dorchester County,Griffin & Robinson's Store,Maryland,,Richard,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340726,Sheriff's Sale,Sale,Woman,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726cac2.pdf,,,"Sheriff’s Sale.
BY virtue of 8 writs of fieri facias, issued
by Solomon Kirwan, Esq., and to the
sheriff directed, one at the suit of John
Turnbull, one at the suit of John Turnbull and Margaret Shenton, Administrators, of
William Shenton, deceased, two at the suit
of Lorenzo R. Wallace, Adm’r. of Joseph
Wallace, one at the suit of James Ringrose,
one at the suit of Lemuel Bell, one at the
suit of Henry Shenton, and one at the suit of
Peter Kirwan, against John C. Tyler, I will
sell, al public sale, on Saturday, the 16th
day of August next, at Robinson & Griffin's
store, all the right, title, claim, interest and
demand of the said John C. Tyler, in and to
the following tracts or parts of tracts of land,
called and known hy the name of Phillips’
Liberty, Cow Quarter, Bacon Quarter, Regulation, Addition to Bacon Quarter, and
Button’s Interest, and one house and lot, one
negro woman Comfort, one negro boy Clem,
one negro boy Dick, four Cows and Calves,
eleven head of sheep, more or less, eight
head of hogs, more or less, two beds, bed
steads and furniture, one canoe, one mahogany desk, seven flag-bottom chairs, two
ploughs and chains, one looking glass, one
pine table, taken in execution and will be
sold to satisfy the above writs of fieri facias
and cost, Sale to commence between the
hours of 10 and 4 o’clock, and attendance
given by
CLEMENT A. BELL,
Deputy Sheriff
July 26 3w","Same slaves being sold as part of John C. Tyler's property, but sale dated to occur before the Constable's sale. Runs under Clement A. Bell in August.",18340726,18340810,public_dealer,Dorchester County,Griffin & Robinson's Store,Maryland,,Comfort,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340726,Sheriff's Sale,Sale,Man,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726cac2.pdf,,,"Sheriff’s Sale.
BY virtue of 8 writs of fieri facias, issued
by Solomon Kirwan, Esq., and to the
sheriff directed, one at the suit of John
Turnbull, one at the suit of John Turnbull and Margaret Shenton, Administrators, of
William Shenton, deceased, two at the suit
of Lorenzo R. Wallace, Adm’r. of Joseph
Wallace, one at the suit of James Ringrose,
one at the suit of Lemuel Bell, one at the
suit of Henry Shenton, and one at the suit of
Peter Kirwan, against John C. Tyler, I will
sell, al public sale, on Saturday, the 16th
day of August next, at Robinson & Griffin's
store, all the right, title, claim, interest and
demand of the said John C. Tyler, in and to
the following tracts or parts of tracts of land,
called and known hy the name of Phillips’
Liberty, Cow Quarter, Bacon Quarter, Regulation, Addition to Bacon Quarter, and
Button’s Interest, and one house and lot, one
negro woman Comfort, one negro boy Clem,
one negro boy Dick, four Cows and Calves,
eleven head of sheep, more or less, eight
head of hogs, more or less, two beds, bed
steads and furniture, one canoe, one mahogany desk, seven flag-bottom chairs, two
ploughs and chains, one looking glass, one
pine table, taken in execution and will be
sold to satisfy the above writs of fieri facias
and cost, Sale to commence between the
hours of 10 and 4 o’clock, and attendance
given by
CLEMENT A. BELL,
Deputy Sheriff
July 26 3w","Same slaves being sold as part of John C. Tyler's property, but sale dated to occur before the Constable's sale. Runs under Clement A. Bell in August.",18340726,18340810,public_dealer,Dorchester County,Griffin & Robinson's Store,Maryland,,Clement,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340726,Sheriff's Sale,Sale,Man,Dorchester,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726cac2.pdf,,,"Sheriff’s Sale.
BY virtue of 8 writs of fieri facias, issued
by Solomon Kirwan, Esq., and to the
sheriff directed, one at the suit of John
Turnbull, one at the suit of John Turnbull and Margaret Shenton, Administrators, of
William Shenton, deceased, two at the suit
of Lorenzo R. Wallace, Adm’r. of Joseph
Wallace, one at the suit of James Ringrose,
one at the suit of Lemuel Bell, one at the
suit of Henry Shenton, and one at the suit of
Peter Kirwan, against John C. Tyler, I will
sell, al public sale, on Saturday, the 16th
day of August next, at Robinson & Griffin's
store, all the right, title, claim, interest and
demand of the said John C. Tyler, in and to
the following tracts or parts of tracts of land,
called and known hy the name of Phillips’
Liberty, Cow Quarter, Bacon Quarter, Regulation, Addition to Bacon Quarter, and
Button’s Interest, and one house and lot, one
negro woman Comfort, one negro boy Clem,
one negro boy Dick, four Cows and Calves,
eleven head of sheep, more or less, eight
head of hogs, more or less, two beds, bed
steads and furniture, one canoe, one mahogany desk, seven flag-bottom chairs, two
ploughs and chains, one looking glass, one
pine table, taken in execution and will be
sold to satisfy the above writs of fieri facias
and cost, Sale to commence between the
hours of 10 and 4 o’clock, and attendance
given by
CLEMENT A. BELL,
Deputy Sheriff
July 26 3w","Same slaves being sold as part of John C. Tyler's property, but sale dated to occur before the Constable's sale. Runs under Clement A. Bell in August.",18340726,18340810,public_dealer,Dorchester County,Griffin & Robinson's Store,Maryland,,Dick,,Cambridge Chronicle,3,DO,Barzillai,Slacum,,Maryland
18340726,Sheriff's Sale,Sale,,Queen Anne's,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726ctpa3.pdf,,,"Sheriff's Sale.
By virtue of a writ of Fi. fa. issued
from the court of appeals and to me directed, at the suit of Geo F. Mason,
against Wm. W. Mason & Jas. Stoops,
wiII be sold at the Courthouse door in
the town of Genireville, on
Saturday—August the sixteenth
next, between the hours of 10 and 5
o’clock, the following property to wit
part of
Three Tracts of Land:
called Finley’s Adventure, Gift and Hazard, containing TWO
HUNDRED & 14 ACRES OF LAND,
more or less, also, one Negro Boy named HENRY, one Negro Woman,
GINEY. One Negro Boy, Emanuel,
the property of Wm, W. Mason.
Also—-The several tracts of land to
wit, part of a Tract of Land, called the Levals, containing
299 ACRES,
Also; one other Tract of Land, called
Chance, containing 219 ACRES, one
do called Providence, containing 84 ACRES, and one do called Hawkins's
Pharsalia, containing
the property of James Stoops, seized &
taken in execution and will be sold to
pay and satisfy the above mentioned
fieri facias, debt, interest and cost.
THO. SUDLER Sheriff
July 26th 1834 tf",Property of Wm. W. Mason,18340726,18340816,public_dealer,Queen Anne's County,At the court house door in the town of Centreville,Maryland,,Henry,,Centreville Times and Eastern-Shore Public Advertiser,3,QA,Tho.,Sudler,,Maryland
18340726,Sheriff's Sale,Sale,,Queen Anne's,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726ctpa3.pdf,,,"Sheriff's Sale.
By virtue of a writ of Fi. fa. issued
from the court of appeals and to me directed, at the suit of Geo F. Mason,
against Wm. W. Mason & Jas. Stoops,
wiII be sold at the Courthouse door in
the town of Genireville, on
Saturday—August the sixteenth
next, between the hours of 10 and 5
o’clock, the following property to wit
part of
Three Tracts of Land:
called Finley’s Adventure, Gift and Hazard, containing TWO
HUNDRED & 14 ACRES OF LAND,
more or less, also, one Negro Boy named HENRY, one Negro Woman,
GINEY. One Negro Boy, Emanuel,
the property of Wm, W. Mason.
Also—-The several tracts of land to
wit, part of a Tract of Land, called the Levals, containing
299 ACRES,
Also; one other Tract of Land, called
Chance, containing 219 ACRES, one
do called Providence, containing 84 ACRES, and one do called Hawkins's
Pharsalia, containing
the property of James Stoops, seized &
taken in execution and will be sold to
pay and satisfy the above mentioned
fieri facias, debt, interest and cost.
THO. SUDLER Sheriff
July 26th 1834 tf",Property of Wm. W. Mason,18340726,18340816,public_dealer,Queen Anne's County,At the court house door in the town of Centreville,Maryland,,Giney,,Centreville Times and Eastern-Shore Public Advertiser,3,QA,Tho.,Sudler,,Maryland
18340726,Sheriff's Sale,Sale,,Queen Anne's,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340726ctpa3.pdf,,,"Sheriff's Sale.
By virtue of a writ of Fi. fa. issued
from the court of appeals and to me directed, at the suit of Geo F. Mason,
against Wm. W. Mason & Jas. Stoops,
wiII be sold at the Courthouse door in
the town of Genireville, on
Saturday—August the sixteenth
next, between the hours of 10 and 5
o’clock, the following property to wit
part of
Three Tracts of Land:
called Finley’s Adventure, Gift and Hazard, containing TWO
HUNDRED & 14 ACRES OF LAND,
more or less, also, one Negro Boy named HENRY, one Negro Woman,
GINEY. One Negro Boy, Emanuel,
the property of Wm, W. Mason.
Also—-The several tracts of land to
wit, part of a Tract of Land, called the Levals, containing
299 ACRES,
Also; one other Tract of Land, called
Chance, containing 219 ACRES, one
do called Providence, containing 84 ACRES, and one do called Hawkins's
Pharsalia, containing
the property of James Stoops, seized &
taken in execution and will be sold to
pay and satisfy the above mentioned
fieri facias, debt, interest and cost.
THO. SUDLER Sheriff
July 26th 1834 tf",Property of Wm. W. Mason,18340726,18340816,public_dealer,Queen Anne's County,At the court house door in the town of Centreville,Maryland,,Emanuel,,Centreville Times and Eastern-Shore Public Advertiser,3,QA,Tho.,Sudler,,Maryland
18340802,Sheriff's Sale,Sale,Girl,Dorchester,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340802cac1.pdf,,,"Sheriff’s Sale.
BY virtue of three writs of fieri facias,
issued by Horatio Hughes, Esq, and
to the sheriff directed, at the suit of Newton Hurley, against Samuel Lawson, will
be sold at public sale, for cash, on Saturday
the 23d of August, instant, between the
hours of 8 and 4 o’clock, at the residence of
said Lawson, all said Lawson’s right and
title to one negro girl Esther, and four
shocks of rye—taken and will be sold to satisfy said writs, and officers’ fees, together
with the cost due and to become due.
JOHN ROBERSON,
Deputy Sheriff
Aug. 2 3w*","Samuel Lawson's title to negro girl, Esther to be sold with 4 shocks of rye. Ad to run 3w.",18340802,18340823,public_dealer,Dorchester County,Samuel Lawson's Residence,Maryland,,Esther,,Cambridge Chronicle,3,DO,John,Roberson,,Maryland
18340809,Wanted to hire,Hire,,,f,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18340809baca1.pdf,,,"WANTED TO HIRE in a private family, a
Servant WOMAN, who can come well recommended as a good cook and of unexceptionable character; a slave to hire by the year would be preferred.
Apply at this office. 
au 9 dtf","""a slave to hire for one year would be preferred""",18340809,,Private,,,,cook,,,Baltimore American and Commercial Advertiser,3,,,,,
